ppm,C1211,C1212,C1213,C1214,C1215,C1231,C1232,C1233,C1234,C1235
3.78785,0.001333027,0.001502639,0.00138316,0.000885866,0.00128345,0.000881826,0.000998264,0.000912022,0.001326545,0.001099671
3.78659,0.001383978,0.001558905,0.001423057,0.000928798,0.0013502,0.00092235,0.001043451,0.000970449,0.001409588,0.001173322
3.78534,0.00146359,0.001658164,0.001504139,0.000981371,0.001415434,0.000963139,0.001094611,0.001029438,0.001508832,0.00126165
3.78409,0.001562484,0.001778444,0.001607672,0.001024458,0.001461119,0.00100397,0.001148576,0.001066434,0.001580629,0.001326817
3.78284,0.001641649,0.00186758,0.001684125,0.001040974,0.001476658,0.001036733,0.001189773,0.001069273,0.00159568,0.001340823
3.78159,0.001668659,0.001887238,0.001694709,0.001030106,0.001467627,0.001052399,0.001204526,0.001046372,0.001563105,0.001308783
3.78034,0.001646221,0.001843366,0.001642685,0.001006413,0.001449188,0.001048739,0.001192815,0.001017769,0.001518666,0.001261654
3.77908,0.001607234,0.001777265,0.001567745,0.000985649,0.001431512,0.001032005,0.001167354,0.000996439,0.001489875,0.001226943
3.77783,0.001582383,0.001727295,0.001510369,0.000971291,0.00141158,0.001011313,0.001141849,0.000977993,0.001472233,0.001205616
3.77658,0.001572343,0.001697784,0.001479775,0.000954398,0.00137907,0.000991214,0.001120012,0.000948288,0.001439395,0.001176618
3.77533,0.001551387,0.001663199,0.001453802,0.000925997,0.001329923,0.000969417,0.001095573,0.000900836,0.001375991,0.001123327
3.77408,0.001497951,0.001600585,0.001407763,0.000888809,0.0012734,0.000941559,0.001062447,0.000846149,0.001299061,0.001054493
3.77283,0.001420682,0.001515653,0.001341654,0.000856211,0.001225325,0.000908058,0.001024354,0.000803336,0.001245341,0.000998109
3.77157,0.001353249,0.001436692,0.001278861,0.000839677,0.001194396,0.000875823,0.00099374,0.000782598,0.001236674,0.000974835
3.77032,0.001323845,0.001385876,0.001240595,0.000837457,0.001174602,0.000852382,0.000980127,0.000775867,0.001257596,0.000977909
3.76907,0.001330074,0.001358864,0.001224161,0.000834897,0.00114953,0.000838152,0.000978878,0.000763032,0.001265598,0.000977582
3.76782,0.001340771,0.00132964,0.001204972,0.000815054,0.001103484,0.00082463,0.000971691,0.000726408,0.001222866,0.000943806
3.76657,0.001318609,0.001271268,0.001156889,0.000769857,0.001030608,0.000800029,0.000938883,0.000661306,0.00112162,0.000866708
3.76532,0.00124295,0.001173673,0.001071356,0.00070387,0.000936792,0.000756948,0.00087269,0.000576788,0.000984913,0.000760309
3.76406,0.001118896,0.00104794,0.000961579,0.000629683,0.000834689,0.000696187,0.00078103,0.000488549,0.00084671,0.000650203
3.76281,0.000971022,0.000917676,0.000851764,0.000559557,0.000736032,0.000625372,0.000680596,0.000409766,0.000729275,0.000557041
3.76156,0.000827565,0.000804662,0.00076152,0.000499293,0.000646617,0.000554418,0.000586149,0.000345722,0.000634252,0.00048769
3.76031,0.000705184,0.000718342,0.000696774,0.00044782,0.000566851,0.000490834,0.000503935,0.000294709,0.000550603,0.000437695
3.75906,0.00060448,0.000655728,0.000651812,0.000401517,0.000495826,0.000437355,0.000432373,0.000252883,0.000469372,0.000399397
3.75781,0.00051781,0.000609199,0.000617834,0.000358803,0.000434387,0.000392868,0.000367582,0.00021826,0.000391984,0.000367808
3.75655,0.000440433,0.00057362,0.000589569,0.000321253,0.000384639,0.000355254,0.000308502,0.000190992,0.000327185,0.000341243
3.7553,0.000374559,0.000547229,0.000565771,0.00029128,0.000347461,0.000323493,0.000257904,0.000171078,0.000282233,0.000318688
3.75405,0.000324831,0.000527937,0.00054578,0.000269396,0.000321097,0.000297657,0.000219603,0.000156634,0.000257039,0.000297464
3.7528,0.000292142,0.000510333,0.000526552,0.00025377,0.000302261,0.000277716,0.000195235,0.000144546,0.00024522,0.000273493
3.75155,0.000272359,0.000487282,0.00050321,0.000242184,0.000288689,0.000263098,0.000183291,0.000132842,0.000239673,0.000244374
3.75029,0.000260253,0.000455619,0.000473133,0.000234467,0.000281027,0.000253568,0.000180576,0.000122688,0.000237585,0.000212694
3.74904,0.000253916,0.000420785,0.000440232,0.000233461,0.000282988,0.000250348,0.000184575,0.000118642,0.000241927,0.000186582
3.74779,0.000256259,0.00039596,0.000415465,0.000244108,0.000300159,0.000256088,0.000195154,0.000127345,0.000260012,0.000177307
3.74654,0.000273891,0.000397045,0.000413385,0.000271257,0.000337779,0.000273483,0.00021467,0.000155089,0.000300302,0.00019561
3.74529,0.000314731,0.00043754,0.000447426,0.000316611,0.000397246,0.00030351,0.000246277,0.000204165,0.000367178,0.000247044
3.74404,0.000383662,0.000523385,0.000524403,0.000375599,0.000472387,0.000344408,0.000291061,0.000269023,0.000454563,0.000326303
3.74278,0.000475702,0.000645815,0.000637524,0.000436739,0.000549359,0.000391776,0.000345707,0.000335969,0.000544006,0.0004149
3.74153,0.000571748,0.000777417,0.000762532,0.000486296,0.000613623,0.00043952,0.000402725,0.000389935,0.000613733,0.000488932
3.74028,0.000646163,0.000882225,0.000866196,0.000517085,0.000660153,0.00048153,0.000453915,0.00042499,0.00065563,0.000535081
3.73903,0.000686134,0.000938943,0.000926792,0.000534256,0.000697032,0.000514377,0.000495552,0.00044882,0.000684324,0.000560529
3.73778,0.000705616,0.000956727,0.000949253,0.000551237,0.0007373,0.000539812,0.00053159,0.000475038,0.000725631,0.000584909
